interval,number_of_buses,total_passengers_served,total_passengers_lost,revenue_gained,revenue_lost,total_wait_time,average_wait_time,program_execution_time
20,36,1800,9177,5400,27531,22188.56,12.33,0.09786200523376465
20,36,1800,9091,5400,27273,22401.89,12.45,0.09401774406433105
20,36,1800,9061,5400,27183,21974.71,12.21,0.10186100006103516
20,36,1800,9192,5400,27576,21943.52,12.19,0.13092398643493652
20,36,1800,9158,5400,27474,22163.05,12.31,0.09671902656555176
20,36,1800,9203,5400,27609,22228.1,12.35,0.09923005104064941
20,36,1800,9070,5400,27210,22213.9,12.34,0.09464120864868164
20,36,1800,9151,5400,27453,22121.57,12.29,0.09650325775146484
20,36,1800,9029,5400,27087,21816.4,12.12,0.0945279598236084
20,36,1800,9065,5400,27195,21792.12,12.11,0.09404802322387695
20,36,1800,9100,5400,27300,22235.88,12.35,0.09366083145141602
20,36,1800,9132,5400,27396,22378.05,12.43,0.09252190589904785
20,36,1800,9212,5400,27636,22341.48,12.41,0.09845304489135742
20,36,1800,9131,5400,27393,21924.29,12.18,0.09596395492553711
20,36,1800,9127,5400,27381,22246.78,12.36,0.09408307075500488
20,36,1800,9208,5400,27624,22080.11,12.27,0.09504389762878418
20,36,1800,9150,5400,27450,22312.45,12.4,0.09833216667175293
20,36,1800,9183,5400,27549,22243.39,12.36,0.09416699409484863
20,36,1800,9091,5400,27273,21953.19,12.2,0.09448981285095215
20,36,1800,9131,5400,27393,21474.67,11.93,0.09282302856445312
20,36,1800,9119,5400,27357,22232.01,12.35,0.09563398361206055
20,36,1800,9062,5400,27186,21951.8,12.2,0.0942392349243164
20,36,1800,9169,5400,27507,22247.21,12.36,0.09621787071228027
20,36,1800,9104,5400,27312,22225.11,12.35,0.09616684913635254
20,36,1800,9130,5400,27390,22078.36,12.27,0.0964350700378418
20,36,1800,9101,5400,27303,21980.49,12.21,0.09282207489013672
20,36,1800,9129,5400,27387,22358.91,12.42,0.09210324287414551
20,36,1800,9152,5400,27456,22376.58,12.43,0.09684514999389648
20,36,1800,8997,5400,26991,21839.18,12.13,0.09163689613342285
20,36,1800,9082,5400,27246,22144.78,12.3,0.09190797805786133
20,36,1800,9140,5400,27420,21950.29,12.19,0.09537220001220703
20,36,1800,9209,5400,27627,22169.43,12.32,0.09498476982116699
20,36,1800,9062,5400,27186,22492.45,12.5,0.09326004981994629
20,36,1800,9183,5400,27549,21528.51,11.96,0.09465312957763672
20,36,1800,8993,5400,26979,21897.26,12.17,0.09292387962341309
20,36,1800,9177,5400,27531,22449.13,12.47,0.09763002395629883
20,36,1800,9134,5400,27402,21688.07,12.05,0.09542298316955566
20,36,1800,9247,5400,27741,22126.42,12.29,0.09290695190429688
20,36,1800,9160,5400,27480,21966.15,12.2,0.09564900398254395
20,36,1800,9008,5400,27024,22074.3,12.26,0.09183096885681152
20,36,1800,9180,5400,27540,21909.36,12.17,0.0928640365600586
20,36,1800,9205,5400,27615,21800.77,12.11,0.09480404853820801
20,36,1800,9134,5400,27402,22013.8,12.23,0.0937962532043457
20,36,1800,9078,5400,27234,21499.27,11.94,0.0928950309753418
20,36,1800,9069,5400,27207,21754.81,12.09,0.09209299087524414
20,36,1800,9145,5400,27435,21930.03,12.18,0.09777617454528809
20,36,1800,9148,5400,27444,22132.05,12.3,0.09777092933654785
20,36,1800,9148,5400,27444,21914.91,12.17,0.09632372856140137
20,36,1800,9284,5400,27852,22199.21,12.33,0.09608221054077148
20,36,1800,9121,5400,27363,21903.01,12.17,0.09233403205871582
20,36,1800,9093,5400,27279,22451.75,12.47,0.0937340259552002
20,36,1800,9130,5400,27390,22191.8,12.33,0.10069513320922852
20,36,1800,9180,5400,27540,21931.76,12.18,0.09682583808898926
20,36,1800,9127,5400,27381,21725.85,12.07,0.09635114669799805
20,36,1800,9177,5400,27531,22155.53,12.31,0.09166693687438965
20,36,1800,9153,5400,27459,21954.36,12.2,0.09461402893066406
20,36,1800,9262,5400,27786,22125.73,12.29,0.10022878646850586
20,36,1800,9162,5400,27486,21893.91,12.16,0.09295296669006348
20,36,1800,9140,5400,27420,21864.3,12.15,0.09061193466186523
20,36,1800,9048,5400,27144,21926.04,12.18,0.09848618507385254
20,36,1800,9147,5400,27441,22025.57,12.24,0.09734988212585449
20,36,1800,9155,5400,27465,22304.04,12.39,0.09169697761535645
20,36,1800,9224,5400,27672,22288.37,12.38,0.0957639217376709
20,36,1800,9131,5400,27393,22179.37,12.32,0.0967409610748291
20,36,1800,9158,5400,27474,22199.73,12.33,0.0940091609954834
20,36,1800,9199,5400,27597,21952.24,12.2,0.09779930114746094
20,36,1800,9211,5400,27633,22170.83,12.32,0.09598326683044434
20,36,1800,9112,5400,27336,21612.31,12.01,0.09288692474365234
20,36,1800,9159,5400,27477,22811.98,12.67,0.09439682960510254
20,36,1800,9168,5400,27504,22623.83,12.57,0.09564399719238281
20,36,1800,9079,5400,27237,22186.92,12.33,0.10203170776367188
20,36,1800,9102,5400,27306,22315.5,12.4,0.10339927673339844
20,36,1800,9133,5400,27399,21625.57,12.01,0.09530282020568848
20,36,1800,9152,5400,27456,22115.55,12.29,0.09522461891174316
20,36,1800,9127,5400,27381,22392.05,12.44,0.0947721004486084
20,36,1800,9156,5400,27468,22045.67,12.25,0.09490823745727539
20,36,1800,9182,5400,27546,22373.15,12.43,0.10100817680358887
20,36,1800,9175,5400,27525,22133.26,12.3,0.09578609466552734
20,36,1800,9138,5400,27414,21797.52,12.11,0.10396218299865723
20,36,1800,9087,5400,27261,21906.94,12.17,0.09498286247253418
20,36,1800,9162,5400,27486,21961.17,12.2,0.09729886054992676
20,36,1800,9101,5400,27303,22573.77,12.54,0.09362626075744629
20,36,1800,9165,5400,27495,21987.96,12.22,0.09311890602111816
20,36,1800,9203,5400,27609,22422.89,12.46,0.09439277648925781
20,36,1800,9065,5400,27195,21981.71,12.21,0.09323883056640625
20,36,1800,9031,5400,27093,22015.75,12.23,0.10241484642028809
20,36,1800,9096,5400,27288,22125.32,12.29,0.09291982650756836
20,36,1800,9185,5400,27555,21960.55,12.2,0.09377789497375488
20,36,1800,9223,5400,27669,22122.33,12.29,0.09572410583496094
20,36,1800,9035,5400,27105,21556.03,11.98,0.09265017509460449
20,36,1800,9126,5400,27378,22308.17,12.39,0.09966111183166504
20,36,1800,9131,5400,27393,21963.98,12.2,0.09080290794372559
20,36,1800,9192,5400,27576,22498.6,12.5,0.09562516212463379
20,36,1800,9044,5400,27132,21975.08,12.21,0.09120321273803711
20,36,1800,9216,5400,27648,22299.35,12.39,0.09927225112915039
20,36,1800,9155,5400,27465,22114.81,12.29,0.09499311447143555
20,36,1800,9168,5400,27504,21968.91,12.2,0.09536576271057129
20,36,1800,9089,5400,27267,22056.76,12.25,0.09614086151123047
20,36,1800,9215,5400,27645,22146.22,12.3,0.09783101081848145
20,36,1800,9222,5400,27666,22334.47,12.41,0.09510397911071777
15,48,2400,8850,7200,26550,26535.85,11.06,0.14629888534545898
15,48,2400,8903,7200,26709,26070.05,10.86,0.14190411567687988
15,48,2400,8808,7200,26424,26247.98,10.94,0.14234304428100586
15,48,2400,8819,7200,26457,26443.22,11.02,0.13561105728149414
15,48,2400,8912,7200,26736,25699.16,10.71,0.14502811431884766
15,48,2400,8839,7200,26517,25806.75,10.75,0.14030814170837402
15,48,2400,8975,7200,26925,26508.79,11.05,0.1448509693145752
15,48,2400,8999,7200,26997,26107.82,10.88,0.14817285537719727
15,48,2400,8825,7200,26475,25567.61,10.65,0.1443028450012207
15,48,2400,8845,7200,26535,25947.75,10.81,0.14152193069458008
15,48,2400,8906,7200,26718,26370.72,10.99,0.1467761993408203
15,48,2400,8756,7200,26268,26175.18,10.91,0.13936924934387207
15,48,2400,8852,7200,26556,25697.27,10.71,0.14812493324279785
15,48,2400,8752,7200,26256,26220.74,10.93,0.14235615730285645
15,48,2400,8824,7200,26472,25569.0,10.65,0.1422889232635498
15,48,2400,8838,7200,26514,25907.3,10.79,0.1386089324951172
15,48,2400,8892,7200,26676,25600.37,10.67,0.14345216751098633
15,48,2400,8947,7200,26841,25940.75,10.81,0.14325618743896484
15,48,2400,8746,7200,26238,26013.16,10.84,0.13884902000427246
15,48,2400,8998,7200,26994,26362.08,10.98,0.1441190242767334
15,48,2400,8846,7200,26538,26318.07,10.97,0.14236021041870117
15,48,2400,8823,7200,26469,26016.09,10.84,0.14447283744812012
15,48,2400,9053,7200,27159,26138.87,10.89,0.14463496208190918
15,48,2400,8998,7200,26994,26131.67,10.89,0.14594507217407227
15,48,2400,8908,7200,26724,26189.99,10.91,0.14064908027648926
15,48,2400,8841,7200,26523,26483.14,11.03,0.13784074783325195
15,48,2400,8917,7200,26751,26688.3,11.12,0.14292693138122559
15,48,2400,8889,7200,26667,26729.38,11.14,0.14090871810913086
15,48,2400,8989,7200,26967,26337.26,10.97,0.1425490379333496
15,48,2400,8866,7200,26598,26145.55,10.89,0.1408069133758545
15,48,2400,8999,7200,26997,26472.09,11.03,0.14446187019348145
15,48,2400,8809,7200,26427,25647.01,10.69,0.14042901992797852
15,48,2400,8738,7200,26214,26187.14,10.91,0.13790416717529297
15,48,2400,8846,7200,26538,26482.53,11.03,0.14688897132873535
15,48,2400,8738,7200,26214,26137.86,10.89,0.13391900062561035
15,48,2400,8808,7200,26424,26052.09,10.86,0.14477801322937012
15,48,2400,8900,7200,26700,25867.5,10.78,0.1460716724395752
15,48,2400,9006,7200,27018,25980.13,10.83,0.1425187587738037
15,48,2400,8872,7200,26616,26231.16,10.93,0.14175677299499512
15,48,2400,8744,7200,26232,26167.07,10.9,0.15588808059692383
15,48,2400,9031,7200,27093,26414.0,11.01,0.1461782455444336
15,48,2400,8779,7200,26337,26599.77,11.08,0.13829994201660156
15,48,2400,8741,7200,26223,25759.76,10.73,0.13859820365905762
15,48,2400,8942,7200,26826,26032.74,10.85,0.1438610553741455
15,48,2400,8836,7200,26508,25621.87,10.68,0.1429438591003418
15,48,2400,8733,7200,26199,25959.75,10.82,0.13953590393066406
15,48,2400,8917,7200,26751,26474.95,11.03,0.14519500732421875
15,48,2400,8857,7200,26571,26286.61,10.95,0.1472761631011963
15,48,2400,9088,7200,27264,25948.96,10.81,0.14920306205749512
15,48,2400,8883,7200,26649,26592.93,11.08,0.14140677452087402
15,48,2400,8887,7200,26661,25649.97,10.69,0.15341591835021973
15,48,2400,8890,7200,26670,26666.99,11.11,0.1418769359588623
15,48,2400,8775,7200,26325,25874.56,10.78,0.14269280433654785
15,48,2400,8851,7200,26553,25319.35,10.55,0.14406108856201172
15,48,2400,8862,7200,26586,25817.67,10.76,0.1381380558013916
15,48,2400,8903,7200,26709,26544.29,11.06,0.14527511596679688
15,48,2400,8908,7200,26724,25940.7,10.81,0.14126110076904297
15,48,2400,8777,7200,26331,26155.03,10.9,0.14001703262329102
15,48,2400,8939,7200,26817,25927.96,10.8,0.14649176597595215
15,48,2400,8678,7200,26034,25990.77,10.83,0.1377561092376709
15,48,2400,8933,7200,26799,26152.07,10.9,0.1454789638519287
15,48,2400,8941,7200,26823,26532.79,11.06,0.14429473876953125
15,48,2400,8805,7200,26415,26276.78,10.95,0.1384730339050293
15,48,2400,8858,7200,26574,26106.28,10.88,0.14325714111328125
15,48,2400,8955,7200,26865,26950.2,11.23,0.1409142017364502
15,48,2400,8808,7200,26424,26119.37,10.88,0.13880300521850586
15,48,2400,8785,7200,26355,25853.78,10.77,0.14087581634521484
15,48,2400,8804,7200,26412,25867.01,10.78,0.1417388916015625
15,48,2400,8890,7200,26670,25978.12,10.82,0.1449129581451416
15,48,2400,8907,7200,26721,26717.15,11.13,0.1397709846496582
15,48,2400,8711,7200,26133,25813.16,10.76,0.14165830612182617
15,48,2400,8738,7200,26214,26331.07,10.97,0.13668298721313477
15,48,2400,8765,7200,26295,25992.95,10.83,0.14068198204040527
15,48,2400,8928,7200,26784,25842.95,10.77,0.1423039436340332
15,48,2400,8907,7200,26721,26451.98,11.02,0.13898181915283203
15,48,2400,8920,7200,26760,25710.76,10.71,0.14740204811096191
15,48,2400,8729,7200,26187,26161.4,10.9,0.136138916015625
15,48,2400,8884,7200,26652,26478.71,11.03,0.1455221176147461
15,48,2400,8887,7200,26661,25829.19,10.76,0.14084887504577637
15,48,2400,8826,7200,26478,25859.88,10.77,0.14311504364013672
15,48,2400,8914,7200,26742,26494.06,11.04,0.142409086227417
15,48,2400,9022,7200,27066,26977.49,11.24,0.1422736644744873
15,48,2400,8840,7200,26520,26193.21,10.91,0.14314818382263184
15,48,2400,8663,7200,25989,25918.2,10.8,0.13893818855285645
15,48,2400,8860,7200,26580,26653.7,11.11,0.13826799392700195
15,48,2400,8872,7200,26616,26277.01,10.95,0.14336609840393066
15,48,2400,8871,7200,26613,26188.48,10.91,0.14287924766540527
15,48,2400,8882,7200,26646,26546.1,11.06,0.14095592498779297
15,48,2400,8854,7200,26562,26413.69,11.01,0.13893723487854004
15,48,2400,8862,7200,26586,25998.75,10.83,0.1376628875732422
15,48,2400,8843,7200,26529,26568.41,11.07,0.14408397674560547
15,48,2400,8867,7200,26601,25821.85,10.76,0.14080214500427246
15,48,2400,8749,7200,26247,26556.67,11.07,0.14323902130126953
15,48,2400,8829,7200,26487,25980.57,10.83,0.1435697078704834
15,48,2400,8961,7200,26883,26307.22,10.96,0.14235925674438477
15,48,2400,8726,7200,26178,26161.51,10.9,0.14128470420837402
15,48,2400,8883,7200,26649,26433.92,11.01,0.14389991760253906
15,48,2400,8958,7200,26874,26771.57,11.15,0.14230108261108398
15,48,2400,8887,7200,26661,25871.52,10.78,0.14708280563354492
15,48,2400,8840,7200,26520,26252.59,10.94,0.14379429817199707
10,71,3530,8410,10590,25230,27540.14,7.8,0.268143892288208
10,71,3533,8512,10599,25536,28695.57,8.12,0.2580411434173584
10,71,3542,8430,10626,25290,27505.47,7.77,0.2633800506591797
10,71,3518,8390,10554,25170,28083.53,7.98,0.265362024307251
10,71,3515,8468,10545,25404,27782.53,7.9,0.2622859477996826
10,71,3535,8240,10605,24720,27988.27,7.92,0.26189708709716797
10,71,3539,8431,10617,25293,27973.29,7.9,0.2649118900299072
10,71,3535,8332,10605,24996,28575.52,8.08,0.2591700553894043
10,71,3525,8239,10575,24717,26552.78,7.53,0.2654111385345459
10,71,3532,8199,10596,24597,26549.2,7.52,0.26238298416137695
10,71,3547,8570,10641,25710,28892.56,8.15,0.27054905891418457
10,71,3537,8304,10611,24912,26903.05,7.61,0.2656989097595215
10,71,3526,8396,10578,25188,27240.65,7.73,0.2599606513977051
10,71,3525,8039,10575,24117,25861.82,7.34,0.26020097732543945
10,71,3519,8267,10557,24801,25893.18,7.36,0.26402711868286133
10,71,3518,8557,10554,25671,28314.01,8.05,0.2624318599700928
10,71,3528,8481,10584,25443,26807.8,7.6,0.26959729194641113
10,71,3539,8326,10617,24978,26619.71,7.52,0.26290297508239746
10,71,3537,8215,10611,24645,26078.44,7.37,0.2637519836425781
10,71,3524,8367,10572,25101,27398.06,7.77,0.26352524757385254
10,71,3548,8475,10644,25425,27225.46,7.67,0.27384495735168457
10,71,3514,8049,10542,24147,25847.91,7.36,0.2626817226409912
10,71,3532,8167,10596,24501,26356.78,7.46,0.2674880027770996
10,71,3534,8449,10602,25347,26099.94,7.39,0.2684450149536133
10,71,3515,8264,10545,24792,27187.65,7.73,0.25745296478271484
10,71,3532,8437,10596,25311,27991.87,7.93,0.26711583137512207
10,71,3536,8447,10608,25341,26500.33,7.49,0.26720690727233887
10,71,3525,8616,10575,25848,26630.06,7.55,0.2676730155944824
10,71,3525,8394,10575,25182,26264.71,7.45,0.2686460018157959
10,71,3537,8224,10611,24672,26639.12,7.53,0.2642650604248047
10,71,3534,8263,10602,24789,27287.97,7.72,0.26100897789001465
10,71,3481,8239,10443,24717,27027.61,7.76,0.25905394554138184
10,71,3526,8519,10578,25557,26014.15,7.38,0.26351308822631836
10,71,3544,8497,10632,25491,28241.28,7.97,0.2640502452850342
10,71,3511,8339,10533,25017,27633.65,7.87,0.26495790481567383
10,71,3526,8261,10578,24783,26802.92,7.6,0.2589447498321533
10,71,3505,8522,10515,25566,26678.26,7.61,0.2704489231109619
10,71,3525,8290,10575,24870,27566.37,7.82,0.2625308036804199
10,71,3519,8573,10557,25719,26783.4,7.61,0.2667548656463623
10,71,3503,8052,10509,24156,26138.82,7.46,0.2590479850769043
10,71,3516,8258,10548,24774,26723.96,7.6,0.2641458511352539
10,71,3540,8310,10620,24930,27198.2,7.68,0.2628958225250244
10,71,3545,8461,10635,25383,27217.09,7.68,0.26396989822387695
10,71,3538,8391,10614,25173,27157.36,7.68,0.26462292671203613
10,71,3533,8263,10599,24789,26884.59,7.61,0.2662680149078369
10,71,3523,8262,10569,24786,27037.44,7.67,0.25971388816833496
10,71,3534,7919,10602,23757,26268.27,7.43,0.2563138008117676
10,71,3518,8542,10554,25626,26420.38,7.51,0.2601339817047119
10,71,3535,8429,10605,25287,26385.88,7.46,0.2720789909362793
10,71,3544,8529,10632,25587,27725.85,7.82,0.2670471668243408
10,71,3527,8580,10581,25740,27640.92,7.84,0.2697908878326416
10,71,3533,8256,10599,24768,26474.29,7.49,0.265117883682251
10,71,3517,8376,10551,25128,26550.01,7.55,0.2641301155090332
10,71,3533,8352,10599,25056,26643.5,7.54,0.2607131004333496
10,71,3526,8229,10578,24687,26974.65,7.65,0.26143693923950195
10,71,3524,8273,10572,24819,27210.63,7.72,0.25860023498535156
10,71,3536,8544,10608,25632,27950.54,7.9,0.2714500427246094
10,71,3520,8644,10560,25932,26106.35,7.42,0.26799583435058594
10,71,3522,8527,10566,25581,26345.89,7.48,0.26755309104919434
10,71,3534,8119,10602,24357,26499.38,7.5,0.26340198516845703
10,71,3527,8151,10581,24453,26982.85,7.65,0.2622377872467041
10,71,3534,8218,10602,24654,26314.95,7.45,0.26297879219055176
10,71,3522,8386,10566,25158,26547.75,7.54,0.27002692222595215
10,71,3511,8176,10533,24528,25622.43,7.3,0.2683389186859131
10,71,3518,8219,10554,24657,28627.22,8.14,0.2616591453552246
10,71,3523,8557,10569,25671,28005.1,7.95,0.27275800704956055
10,71,3519,8380,10557,25140,26008.93,7.39,0.26993680000305176
10,71,3527,8374,10581,25122,26360.7,7.47,0.2674417495727539
10,71,3517,8377,10551,25131,25572.62,7.27,0.2607150077819824
10,71,3520,8308,10560,24924,27533.31,7.82,0.26022768020629883
10,71,3518,8369,10554,25107,27283.68,7.76,0.2582437992095947
10,71,3531,8390,10593,25170,26521.66,7.51,0.26852989196777344
10,71,3546,8412,10638,25236,27078.54,7.64,0.26205992698669434
10,71,3539,8481,10617,25443,26663.13,7.53,0.2617931365966797
10,71,3513,8365,10539,25095,27790.44,7.91,0.26179003715515137
10,71,3525,8416,10575,25248,26584.37,7.54,0.26505184173583984
10,71,3522,8410,10566,25230,25986.79,7.38,0.2624180316925049
10,71,3518,8495,10554,25485,29160.41,8.29,0.2695300579071045
10,71,3518,8510,10554,25530,26825.4,7.63,0.2678639888763428
10,71,3544,8407,10632,25221,27746.25,7.83,0.26152920722961426
10,71,3534,8597,10602,25791,28334.28,8.02,0.2668430805206299
10,71,3545,8445,10635,25335,26364.39,7.44,0.26639890670776367
10,71,3529,8125,10587,24375,26760.16,7.58,0.2630040645599365
10,71,3524,8262,10572,24786,27173.64,7.71,0.25837016105651855
10,71,3545,8078,10635,24234,25713.53,7.25,0.26142215728759766
10,71,3542,8385,10626,25155,27112.72,7.65,0.26697301864624023
10,71,3507,8549,10521,25647,26283.37,7.49,0.27540087699890137
10,71,3530,8233,10590,24699,26984.46,7.64,0.2586648464202881
10,71,3524,8364,10572,25092,27694.66,7.86,0.26555299758911133
10,71,3524,8171,10572,24513,27191.04,7.72,0.25612902641296387
10,71,3536,8487,10608,25461,26631.35,7.53,0.26728296279907227
10,71,3525,8415,10575,25245,27359.44,7.76,0.26608824729919434
10,71,3524,8046,10572,24138,26550.25,7.53,0.26103901863098145
10,71,3505,8177,10515,24531,25573.35,7.3,0.2574930191040039
10,71,3527,8108,10581,24324,25634.0,7.27,0.26251983642578125
10,71,3526,8303,10578,24909,26171.21,7.42,0.26619482040405273
10,71,3534,8274,10602,24822,27401.15,7.75,0.2644071578979492
10,71,3533,8437,10599,25311,27804.65,7.87,0.2664449214935303
10,71,3530,8217,10590,24651,26118.69,7.4,0.2660973072052002
10,71,3529,8393,10587,25179,27913.48,7.91,0.2645530700683594
5,142,5705,8005,17115,24015,27381.08,4.8,0.599431037902832
5,142,5689,7613,17067,22839,25447.02,4.47,0.5879359245300293
5,142,5702,7809,17106,23427,26516.29,4.65,0.6011121273040771
5,142,5673,7853,17019,23559,26260.61,4.63,0.5805909633636475
5,142,5719,7503,17157,22509,25792.9,4.51,0.5859889984130859
5,142,5722,7718,17166,23154,27027.83,4.72,0.5894742012023926
5,142,5689,7724,17067,23172,26746.66,4.7,0.5953147411346436
5,142,5645,7538,16935,22614,26724.15,4.73,0.5833630561828613
5,142,5673,7750,17019,23250,26084.58,4.6,0.5863127708435059
5,142,5706,8072,17118,24216,27182.13,4.76,0.5975110530853271
5,142,5648,7812,16944,23436,26018.93,4.61,0.5951511859893799
5,142,5707,8151,17121,24453,26962.12,4.72,0.592149019241333
5,142,5676,8019,17028,24057,27878.24,4.91,0.5877532958984375
5,142,5708,7683,17124,23049,26117.78,4.58,0.5864858627319336
5,142,5700,7365,17100,22095,25843.07,4.53,0.5853500366210938
5,142,5688,7328,17064,21984,25695.11,4.52,0.5923221111297607
5,142,5681,7826,17043,23478,27334.66,4.81,0.5843551158905029
5,142,5681,7569,17043,22707,26370.79,4.64,0.5863351821899414
5,142,5656,7711,16968,23133,26336.86,4.66,0.5852491855621338
5,142,5687,7810,17061,23430,25756.15,4.53,0.5925350189208984
5,142,5699,7212,17097,21636,25252.44,4.43,0.6056890487670898
5,142,5711,7868,17133,23604,27072.17,4.74,0.5893831253051758
5,142,5734,8248,17202,24744,28032.19,4.89,0.5930318832397461
5,142,5676,7626,17028,22878,26841.89,4.73,0.5870912075042725
5,142,5674,7585,17022,22755,27457.64,4.84,0.5964930057525635
5,142,5689,7944,17067,23832,26487.3,4.66,0.5936150550842285
5,142,5715,7583,17145,22749,26740.83,4.68,0.5894808769226074
5,142,5694,8243,17082,24729,27385.24,4.81,0.604233980178833
5,142,5686,7580,17058,22740,26789.37,4.71,0.5822138786315918
5,142,5696,7777,17088,23331,25613.91,4.5,0.591160774230957
5,142,5705,7550,17115,22650,26970.1,4.73,0.583777904510498
5,142,5685,7590,17055,22770,27039.63,4.76,0.5846908092498779
5,142,5615,7613,16845,22839,25358.67,4.52,0.5912411212921143
5,142,5678,7923,17034,23769,26393.46,4.65,0.5859992504119873
5,142,5661,7850,16983,23550,27630.84,4.88,0.5836048126220703
5,142,5681,7437,17043,22311,26278.69,4.63,0.5893537998199463
5,142,5701,7734,17103,23202,25842.91,4.53,0.5875401496887207
5,142,5706,7987,17118,23961,26326.77,4.61,0.602168083190918
5,142,5731,7817,17193,23451,26364.4,4.6,0.5879271030426025
5,142,5699,7096,17097,21288,25132.84,4.41,0.583402156829834
5,142,5707,7523,17121,22569,25583.77,4.48,0.585576057434082
5,142,5720,7858,17160,23574,27592.54,4.82,0.5867900848388672
5,142,5672,7520,17016,22560,25913.97,4.57,0.5928750038146973
5,142,5672,7486,17016,22458,25681.51,4.53,0.5887119770050049
5,142,5669,8114,17007,24342,27441.25,4.84,0.5992958545684814
5,142,5682,7561,17046,22683,27176.2,4.78,0.5856120586395264
5,142,5679,7526,17037,22578,26737.49,4.71,0.5908710956573486
5,142,5701,8113,17103,24339,27240.32,4.78,0.5907578468322754
5,142,5686,7836,17058,23508,26438.13,4.65,0.6042299270629883
5,142,5698,7702,17094,23106,26363.35,4.63,0.6039590835571289
5,142,5730,7541,17190,22623,26439.14,4.61,0.6001029014587402
5,142,5685,8100,17055,24300,27013.09,4.75,0.5953881740570068
5,142,5675,7493,17025,22479,25181.71,4.44,0.589508056640625
5,142,5677,7704,17031,23112,26814.16,4.72,0.5884449481964111
5,142,5654,7427,16962,22281,25534.07,4.52,0.5857491493225098
5,142,5674,7965,17022,23895,27211.2,4.8,0.5867600440979004
5,142,5644,7686,16932,23058,26784.49,4.75,0.5917339324951172
5,142,5682,7489,17046,22467,25604.94,4.51,0.5971839427947998
5,142,5702,8002,17106,24006,27789.69,4.87,0.5890827178955078
5,142,5677,8086,17031,24258,28315.91,4.99,0.5958211421966553
5,142,5728,7792,17184,23376,26058.3,4.55,0.5888879299163818
5,142,5636,7725,16908,23175,26715.41,4.74,0.5913221836090088
5,142,5719,7630,17157,22890,27539.79,4.82,0.5807230472564697
5,142,5671,7820,17013,23460,26677.08,4.7,0.5875740051269531
5,142,5655,7661,16965,22983,26460.91,4.68,0.5836889743804932
5,142,5733,7289,17199,21867,25839.06,4.51,0.5956730842590332
5,142,5657,7500,16971,22500,25182.24,4.45,0.589698076248169
5,142,5700,7707,17100,23121,27298.46,4.79,0.5822789669036865
5,142,5680,7763,17040,23289,25842.75,4.55,0.5914688110351562
5,142,5655,8162,16965,24486,26898.34,4.76,0.5908207893371582
5,142,5680,7761,17040,23283,26360.15,4.64,0.591019868850708
5,142,5711,7784,17133,23352,26430.37,4.63,0.5998430252075195
5,142,5653,7865,16959,23595,27330.6,4.83,0.5923459529876709
5,142,5685,7635,17055,22905,25895.9,4.56,0.5805730819702148
5,142,5688,7840,17064,23520,26159.18,4.6,0.5866332054138184
5,142,5672,7625,17016,22875,25573.38,4.51,0.587501049041748
5,142,5681,8029,17043,24087,28159.93,4.96,0.58614182472229
5,142,5686,7561,17058,22683,26315.33,4.63,0.586834192276001
5,142,5662,7250,16986,21750,25903.87,4.58,0.586341142654419
5,142,5711,7956,17133,23868,26532.05,4.65,0.5927901268005371
5,142,5714,7824,17142,23472,26778.96,4.69,0.5946228504180908
5,142,5716,7745,17148,23235,27108.45,4.74,0.5854160785675049
5,142,5683,7854,17049,23562,26328.17,4.63,0.5845859050750732
5,142,5729,8056,17187,24168,26337.37,4.6,0.5950369834899902
5,142,5675,7718,17025,23154,27142.64,4.78,0.588839054107666
5,142,5686,7862,17058,23586,26936.9,4.74,0.5881080627441406
5,142,5685,7620,17055,22860,26392.46,4.64,0.5822451114654541
5,142,5674,7902,17022,23706,27183.71,4.79,0.5904419422149658
5,142,5671,7494,17013,22482,26395.51,4.65,0.586029052734375
5,142,5685,7814,17055,23442,26293.63,4.63,0.5840649604797363
5,142,5677,8057,17031,24171,26481.25,4.66,0.5926840305328369
5,142,5704,7437,17112,22311,25614.51,4.49,0.5878090858459473
5,142,5757,7801,17271,23403,27305.29,4.74,0.5924758911132812
5,142,5697,7905,17091,23715,26801.05,4.7,0.5893440246582031
5,142,5716,7540,17148,22620,26365.38,4.61,0.5833010673522949
5,142,5685,7630,17055,22890,26789.69,4.71,0.5984320640563965
5,142,5672,7760,17016,23280,26073.48,4.6,0.5894627571105957
5,142,5689,7585,17067,22755,26494.86,4.66,0.5867369174957275
5,142,5670,7455,17010,22365,26095.61,4.6,0.5910398960113525
5,142,5676,7634,17028,22902,25771.06,4.54,0.5840518474578857
